,id,year_of_birth,height,weight,running_years,time_1km_id,time_5km_id,time_10km_id,time_21km_id,time_42km_id,training_amount,km_amount,speed_training_amount,minute_per_km_speed_training_id,threshold_training_amount,minute_per_km_threshold_training_id,interval_training_amount,minute_per_km_interval_training_id,run_up_training_amount,minute_per_km_run_up_training_id,runway_amount,km_per_runway,minute_per_km_runway_id,other_trainings,other_trainings_amount,other_trainings_time,wellness,wellness_amount,detraining_amount,detraining_days,warmup_id,warmup_time
25,26,1982,200,100,1,6,10,7,9,14,4,40,0,13,0,13,2,11,0,13,0,0,13,0,0,0,0,0,0,0,4,0
26,27,1975,178,69,6,2,3,2,3,4,6,110,2,3,2,5,2,4,2,3,2,29,6,1,10,70,0,0,2,14,1,15
27,28,1982,185,102,2,4,6,4,6,14,3,12,2,3,0,13,2,2,0,13,13,12,8,1,20,60,0,0,2,7,4,0
28,29,1980,173,68,4,5,7,5,7,14,3,30,0,13,2,7,2,6,2,7,2,22,9,0,0,0,0,0,3,14,3,5
29,30,1994,164,58,3,4,9,5,6,14,2,20,2,6,0,13,2,6,1,8,1,15,9,1,8,40,0,0,2,14,3,5
30,31,1987,167,69,1,3,6,6,12,14,3,30,4,3,0,13,4,3,3,5,0,0,13,1,20,60,0,0,2,14,1,15
31,32,1984,184,92,20,3,3,3,4,6,3,40,1,13,0,13,0,13,0,13,2,10,13,1,15,60,0,0,0,0,2,2
32,33,1994,167,56,2,3,5,5,6,14,5,50,8,6,1,5,4,5,0,13,3,10,10,0,0,0,0,0,1,14,1,5
33,34,1969,165,71,3,7,9,7,9,14,3,20,3,8,1,11,0,13,2,11,4,11,10,1,2,60,0,0,3,10,2,4
34,35,1982,166,60,8,4,6,5,12,14,5,45,0,13,0,13,0,13,0,13,20,9,7,0,0,0,0,0,1,120,4,0
35,36,1981,166,61,1,5,6,6,12,14,3,25,5,6,0,13,0,13,5,8,4,10,9,0,0,0,1,10,0,0,4,0
36,37,1987,189,90,3,2,4,3,7,7,3,30,1,2,10,6,1,2,1,5,1,13,9,1,20,35,0,0,1,14,2,1
37,38,1983,173,60,1,6,8,6,12,14,2,17,1,3,0,13,0,13,4,7,2,10,8,1,10,150,0,0,1,21,3,5
38,39,1969,170,67,3,3,7,5,8,14,2,20,3,6,1,8,1,6,2,5,4,12,10,1,4,70,1,10,1,30,2,5
39,40,1980,158,59,1,11,12,12,12,14,3,15,0,13,0,13,0,13,0,13,12,5,12,1,12,40,0,0,0,0,2,8
40,41,1967,165,68,3,8,9,6,9,11,3,20,1,8,0,13,2,8,1,11,1,20,12,0,0,0,0,0,0,0,3,5
41,42,1974,162,58,9,4,6,5,6,9,4,50,4,5,4,7,4,7,2,8,4,20,8,1,8,60,0,0,1,14,3,2
42,43,1988,187,88,5,2,4,3,5,8,3,50,2,2,1,3,4,3,2,5,3,25,7,1,15,60,1,3,1,12,2,10
43,44,1981,177,87,2,7,8,6,8,14,3,40,2,8,1,11,2,7,1,11,1,15,9,1,230,30,0,0,1,40,3,10
44,45,1981,164,72,0,1,3,2,2,4,6,80,5,4,5,5,4,5,2,5,5,21,8,1,6,45,1,8,2,14,1,10
45,46,1978,169,76,4,5,5,4,6,14,3,30,4,6,20,5,2,6,1,8,2,25,8,1,16,80,1,3,2,25,3,5
46,47,1977,167,70,3,4,5,4,5,14,2,25,1,2,1,6,1,5,1,3,1,16,7,1,14,75,1,20,1,10,3,5
47,48,1982,180,84,2,2,4,3,4,14,4,60,0,13,1,5,4,4,0,13,0,0,13,0,0,0,0,0,1,30,4,0
48,49,2004,165,55,5,2,7,12,12,14,4,14,5,13,8,13,0,13,5,2,4,5,6,1,38,60,0,0,2,10,1,30
49,50,1979,190,107,2,6,7,6,8,14,3,25,2,5,0,13,1,7,1,4,3,12,9,0,0,0,0,0,5,10,4,0
50,51,1982,158,55,5,4,7,5,7,14,4,7,1,3,0,13,1,2,1,4,2,18,9,1,9,1,0,0,1,30,2,5
51,52,1979,172,69,10,4,4,3,4,7,3,30,2,5,8,6,0,13,4,5,2,17,7,0,0,0,0,0,10,5,3,5
52,53,1976,164,65,3,6,7,5,7,14,3,11,1,4,1,7,1,7,1,4,3,16,8,1,8,65,1,5,1,25,3,5
53,54,1987,175,69,1,7,9,7,12,14,3,15,0,13,0,13,0,13,0,13,1,10,8,1,4,120,1,2,2,21,2,10
54,55,1987,158,58,4,6,6,5,7,14,3,30,3,4,3,4,3,4,3,4,3,21,9,1,2,30,0,0,1,30,3,5
55,56,2000,165,61,6,5,6,5,12,14,7,7,4,5,4,8,4,7,4,5,4,7,10,1,26,90,0,0,1,25,2,10
56,57,1985,185,83,4,4,5,3,5,6,3,50,4,5,4,6,3,5,0,13,4,25,7,0,0,0,1,12,2,21,1,10
57,58,1997,167,64,1,7,10,8,11,14,3,25,0,13,4,11,1,8,0,13,3,12,10,0,0,0,0,0,2,14,2,3
58,59,1986,173,79,4,2,4,3,4,6,3,40,4,4,0,13,4,4,2,5,4,20,8,1,8,30,1,3,1,14,3,3
59,60,1997,180,82,3,3,5,3,5,8,5,50,8,4,5,5,10,3,2,4,10,18,9,1,28,60,1,29,2,14,3,2
60,61,1989,165,58,0,6,5,4,12,14,1,6,0,13,0,13,0,13,2,7,2,6,7,1,10,60,0,0,1,90,4,0
61,62,1979,165,69,2,7,8,6,7,14,2,20,6,6,0,13,4,6,4,7,1,20,9,0,0,0,0,0,6,5,3,10
62,63,1995,177,100,1,4,6,5,6,11,3,30,8,5,4,8,8,5,8,6,4,20,12,1,16,90,1,60,2,15,3,10
63,64,1979,172,56,6,5,4,4,4,9,3,40,5,4,2,7,4,5,4,11,4,17,8,1,8,60,1,12,1,7,3,10
64,65,1984,164,61,1,7,2,8,12,14,3,30,0,13,0,13,0,13,10,11,10,10,12,0,0,0,1,12,1,14,1,5
65,66,1974,160,62,4,3,6,6,7,14,3,35,4,4,0,13,2,5,1,5,1,16,9,1,4,60,0,0,1,30,3,5
66,67,1987,175,86,8,4,5,4,5,7,3,40,3,13,0,13,1,5,1,7,3,25,7,0,0,0,0,0,2,10,1,3
67,68,1979,159,62,5,6,9,6,9,14,3,10,0,13,10,11,0,13,0,13,10,10,9,0,0,0,1,1,5,5,4,0
68,69,1976,168,84,7,5,6,5,7,12,3,35,1,6,1,5,2,6,2,7,4,15,9,1,6,60,0,0,30,30,3,10
69,70,1975,168,65,3,8,9,7,8,14,4,35,4,7,1,8,1,8,2,11,1,12,9,0,0,0,0,0,1,7,3,5
70,71,1972,187,81,6,3,4,3,5,7,4,60,4,6,4,6,2,5,4,6,4,25,7,1,12,60,1,24,1,14,2,10
71,72,1994,182,67,5,3,6,4,5,9,4,60,4,6,3,7,4,4,2,5,5,20,8,0,0,0,0,0,2,20,3,3
72,73,1980,158,48,3,5,7,5,6,8,4,50,2,6,0,13,2,6,2,5,1,20,9,1,4,40,0,0,0,0,3,2
73,74,1986,172,88,6,5,5,4,5,13,2,10,2,5,1,6,2,5,2,8,2,10,10,1,10,60,0,0,2,20,3,3
74,75,1974,173,68,4,4,4,3,4,6,5,15,1,5,1,6,1,5,4,6,4,30,7,0,0,0,0,0,1,14,3,5
75,76,1972,182,112,4,5,7,6,7,14,4,40,4,4,4,8,0,13,0,13,4,15,10,1,2,60,0,0,2,7,2,15
76,77,1970,170,68,5,8,10,8,12,14,3,8,3,11,1,11,3,11,1,11,4,12,12,1,4,60,1,2,1,15,3,10
77,78,1971,183,83,6,3,4,2,3,5,3,40,3,5,3,7,3,5,2,6,4,20,8,0,0,0,0,0,2,15,3,4
78,79,1974,176,80,4,3,4,3,5,14,3,35,4,5,2,6,5,6,0,13,4,20,8,1,8,45,0,0,2,21,1,15
79,80,1995,199,81,6,11,14,8,12,12,3,27,3,11,5,8,6,8,2,11,0,19,10,0,0,0,1,5,5,7,4,15
80,81,1974,196,69,5,1,3,4,2,2,6,90,9,3,9,2,7,1,6,1,7,35,4,1,6,90,1,1,1,12,1,20
81,82,1978,170,63,2,11,14,12,12,14,4,68,6,5,8,7,6,6,7,5,4,17,8,1,3,60,0,0,4,7,3,15
82,83,1978,150,88,0,11,6,12,12,7,5,46,7,7,5,7,5,7,3,6,5,15,7,1,2,75,1,7,1,13,3,5
83,84,1986,190,76,9,5,7,7,7,8,4,63,3,6,6,6,5,6,5,7,3,22,7,1,1,90,0,0,2,10,2,10
84,85,1997,190,71,18,6,7,6,7,7,5,56,7,7,7,6,10,6,7,5,3,15,7,1,10,90,1,13,5,5,3,10
85,86,1977,144,89,11,5,6,12,5,6,4,32,6,6,8,6,7,7,6,5,5,30,7,0,0,0,1,14,5,9,2,10
86,87,1970,184,104,10,10,13,10,11,14,2,50,4,8,7,8,5,11,4,8,3,21,12,1,2,45,1,4,5,10,2,10
87,88,1971,193,85,6,10,13,10,11,11,3,25,4,8,3,11,4,11,4,11,4,21,12,1,10,90,0,0,4,5,2,15
88,89,1990,187,55,18,2,4,12,2,5,5,98,6,3,9,2,9,2,9,1,5,32,6,1,3,90,1,8,2,14,1,15
89,90,1994,187,60,14,6,7,5,8,7,5,63,3,7,4,7,6,6,6,7,3,28,9,0,0,0,0,0,1,10,3,5
90,91,1968,143,92,15,6,8,7,5,8,2,58,4,7,10,7,5,6,6,5,4,24,9,1,2,60,0,0,3,12,1,20
91,92,1999,150,67,9,2,14,4,4,1,5,75,9,1,8,2,8,3,6,3,6,36,4,1,3,60,0,0,3,15,2,10
92,93,1993,178,87,8,11,10,11,12,12,4,43,3,8,4,8,6,8,5,11,2,16,12,0,0,0,1,14,4,13,4,10
93,94,2001,188,71,6,11,14,8,9,10,1,29,2,11,6,8,6,8,4,8,4,10,10,1,7,30,0,0,1,13,4,5
94,95,1971,162,50,15,1,14,1,2,2,3,69,7,2,5,1,6,3,10,1,4,36,4,1,4,60,0,0,3,14,1,5
95,96,1976,196,78,18,3,14,12,4,4,7,43,10,3,12,2,12,1,9,3,4,36,4,0,0,0,1,4,3,5,2,20
96,97,1980,178,62,17,5,6,7,7,7,3,50,4,7,8,5,7,7,5,5,5,20,9,1,7,30,0,0,4,11,1,15
97,98,1978,146,55,17,1,14,2,3,2,7,66,6,1,11,1,9,1,6,2,6,24,6,1,4,75,1,5,3,13,1,10
98,99,1988,181,65,10,11,11,11,9,14,1,36,1,8,3,8,7,11,5,8,3,12,12,0,0,0,1,3,3,8,2,10
99,100,1977,182,90,20,4,7,5,12,8,5,60,5,7,7,5,6,5,4,6,5,15,7,0,0,0,1,7,1,8,2,5
100,101,1973,147,79,9,6,14,7,6,8,4,68,6,5,7,7,7,5,3,6,4,26,7,1,1,45,0,0,3,6,3,15
101,102,1988,145,68,14,5,14,6,5,6,5,42,6,7,10,6,5,5,6,7,4,22,8,1,2,90,1,5,1,8,3,10
102,103,1984,182,103,5,7,12,8,9,12,4,21,4,11,7,11,7,8,4,8,0,10,12,1,6,75,1,5,5,8,2,5
103,104,1972,173,102,5,11,12,11,12,11,3,29,5,11,3,8,3,8,0,13,0,13,12,1,9,30,1,8,1,7,2,5
104,105,1980,173,71,9,2,2,4,3,2,6,57,7,2,9,3,9,2,6,1,4,21,6,1,6,60,0,0,1,5,2,10
105,106,1988,159,73,8,2,3,1,1,14,7,90,6,3,7,1,7,3,9,3,7,32,4,0,0,0,0,0,4,14,1,20
106,107,1988,140,77,10,7,14,10,9,10,4,48,4,8,5,11,7,11,0,13,4,25,12,1,7,90,0,0,4,11,2,10
107,108,1970,176,78,12,11,2,4,3,2,6,58,9,3,6,3,9,3,10,2,5,30,6,1,4,60,0,0,1,14,1,5
108,109,1986,146,65,17,1,2,1,12,5,3,89,9,3,5,2,11,1,6,3,7,34,5,1,4,90,1,3,3,5,2,20
109,110,1972,154,54,20,2,1,4,1,4,3,43,9,3,11,1,6,2,8,1,7,37,6,1,4,30,0,0,4,15,1,20
110,111,1994,197,90,13,6,8,12,7,7,5,57,3,7,3,7,7,7,3,5,4,24,8,1,9,30,1,10,4,7,3,15
111,112,1995,177,53,16,1,1,3,2,2,3,100,8,2,11,3,8,1,9,1,6,38,4,1,10,75,1,7,1,6,2,5
112,113,1972,149,87,4,10,14,12,9,11,4,26,2,8,3,11,3,11,0,13,4,12,12,0,0,0,0,0,4,7,2,15
113,114,2000,175,79,4,7,12,9,11,12,1,42,3,11,5,8,2,11,2,11,0,10,10,1,4,60,0,0,4,11,4,5
114,115,1990,191,75,12,11,4,2,12,2,5,63,10,3,7,1,6,3,10,2,4,27,5,1,9,30,1,14,5,9,2,20
115,116,1995,149,60,3,9,13,10,10,11,1,14,1,11,5,8,6,11,5,8,3,19,12,1,10,30,1,2,4,6,2,15
116,117,2002,186,71,14,5,6,5,6,6,4,62,3,6,10,6,8,5,3,6,4,15,8,0,0,0,1,11,3,13,1,5
117,118,1970,192,77,3,8,14,8,11,11,4,38,1,11,7,8,2,8,2,8,3,17,12,0,0,0,0,0,4,12,2,10
118,119,1986,176,70,6,7,12,12,12,13,3,10,0,13,4,8,6,11,0,13,3,20,12,1,8,60,1,5,5,11,2,15
119,120,1974,181,69,20,5,9,12,8,14,3,53,7,7,9,6,8,7,3,6,4,25,7,1,1,30,0,0,4,6,3,10
120,121,1975,168,53,16,3,2,2,4,4,3,82,10,1,10,1,7,1,7,1,5,20,5,1,6,75,0,0,1,13,2,5
121,122,1999,159,67,19,5,9,7,7,14,3,43,7,6,10,7,9,7,6,5,4,28,7,0,0,0,1,5,4,13,2,20
122,123,2002,154,78,11,2,14,12,12,2,6,71,7,2,6,2,12,3,10,3,6,37,6,0,0,0,0,0,2,13,2,10
123,124,1989,157,68,9,11,11,12,12,14,2,11,2,11,6,11,2,8,5,8,3,12,10,1,4,30,1,15,5,5,2,20
124,125,1987,175,54,8,6,6,7,5,14,5,65,5,5,7,6,4,6,4,6,4,28,9,1,5,30,0,0,4,5,3,5
125,126,2001,196,109,1,11,14,9,12,14,4,15,1,8,5,8,7,8,2,11,2,14,12,1,2,30,1,10,4,5,3,10
126,127,1999,180,94,6,11,6,5,6,14,3,55,5,5,8,5,8,7,7,5,2,18,8,1,4,75,1,11,1,5,1,5
127,128,1980,158,89,10,11,13,8,12,13,4,26,0,13,5,8,6,11,3,8,4,22,10,0,0,0,0,0,1,6,2,20
128,129,1979,185,62,14,6,7,7,7,6,4,49,7,5,6,6,7,6,7,5,3,15,8,0,0,0,0,0,2,7,2,15
129,130,1996,197,68,4,10,10,8,11,11,1,39,5,11,5,8,6,11,0,13,0,16,12,0,0,0,0,0,1,5,2,5
130,131,1986,176,88,10,5,6,12,8,6,2,30,6,7,9,6,10,6,5,5,4,16,9,0,0,0,0,0,5,15,2,15
131,132,1978,197,86,12,4,8,5,8,9,5,39,7,5,8,7,6,5,4,7,2,30,9,0,0,0,0,0,3,10,3,10
132,133,1986,182,84,7,10,14,10,10,10,2,18,1,8,3,11,7,8,0,13,0,11,10,0,0,0,1,3,2,7,4,5
133,134,1968,163,80,20,1,2,1,4,14,6,69,10,1,12,2,9,2,8,2,5,32,4,0,0,0,1,13,3,8,2,15
134,135,1987,172,77,17,11,14,4,1,4,5,68,6,2,10,3,8,2,7,1,5,24,5,1,4,45,0,0,2,9,1,20
135,136,2000,155,51,18,1,2,2,4,4,6,72,8,2,9,3,9,2,6,1,7,35,6,1,9,30,1,4,1,8,2,5
136,137,1996,145,74,3,9,14,12,9,13,2,11,4,8,6,8,2,8,0,13,4,16,10,1,2,90,0,0,1,5,4,5
137,138,1985,166,96,8,9,11,8,10,14,3,30,3,8,7,8,7,8,1,11,2,21,10,1,4,30,0,0,5,13,3,20
138,139,1989,185,61,10,7,10,12,11,12,2,17,4,8,2,11,6,8,2,8,4,18,10,1,6,30,0,0,4,6,3,15
139,140,1995,166,60,2,5,8,5,7,7,2,31,6,5,8,6,9,7,3,5,3,24,9,1,8,60,0,0,3,12,3,5
140,141,1982,170,66,20,3,2,2,3,4,7,42,8,2,9,1,12,2,10,3,5,26,4,1,1,45,0,0,2,10,1,5
141,142,1995,180,103,10,9,13,12,9,14,1,25,0,13,3,11,2,11,5,8,4,19,12,1,4,30,0,0,5,8,4,10
142,143,1994,197,53,18,3,3,3,1,2,7,58,9,3,7,3,10,3,7,1,6,31,6,0,0,0,1,12,4,13,2,20
143,144,1977,160,79,10,2,2,1,1,14,7,89,8,3,7,3,8,3,5,1,5,34,4,1,10,75,1,13,1,10,1,10
144,145,1991,180,60,18,4,9,6,6,8,5,58,3,6,10,7,9,5,7,6,5,21,9,1,4,45,0,0,3,12,3,10
145,146,1996,175,59,13,6,9,12,7,9,3,69,5,6,5,7,9,5,3,6,2,28,8,0,0,0,1,9,4,14,3,5
146,147,1994,168,70,3,5,9,6,12,6,3,45,3,6,7,5,9,5,3,7,4,25,9,0,0,0,1,2,4,12,2,20
147,148,1970,173,99,15,6,8,7,7,14,3,30,7,5,9,7,6,7,3,5,3,20,7,1,7,30,1,12,3,15,1,15
148,149,1978,176,61,6,8,10,9,11,10,1,31,5,11,3,8,4,8,3,8,1,22,12,1,3,30,0,0,5,6,2,20
149,150,1997,196,60,0,8,14,10,9,10,1,25,2,8,5,8,7,8,3,11,1,22,10,0,0,0,0,0,3,5,3,5
150,151,1984,159,97,9,4,14,5,12,9,5,47,7,6,5,6,7,5,5,6,4,18,7,0,0,0,1,11,4,6,1,20
151,152,1968,141,109,2,10,12,8,12,10,1,13,5,8,0,13,6,8,1,8,4,19,10,1,7,45,1,12,1,13,2,5
152,153,2002,154,73,16,6,14,7,8,6,4,48,6,5,6,6,8,5,5,7,2,19,9,1,1,45,0,0,3,5,2,5
153,154,1989,173,90,9,4,8,6,5,7,4,36,5,5,10,7,5,6,6,5,5,29,7,0,0,0,0,0,3,12,1,15
154,155,1978,148,67,0,9,14,10,9,11,4,34,3,8,5,8,4,11,2,11,1,18,10,1,1,75,1,10,4,7,3,5
155,156,1988,142,99,10,11,12,8,11,12,2,42,1,11,2,8,7,8,4,11,2,16,10,0,0,0,1,14,1,15,3,10
156,157,1972,190,72,5,11,9,5,5,9,3,53,4,7,4,5,10,7,6,5,3,29,7,1,5,90,0,0,4,5,2,20
157,158,1978,167,67,11,3,1,12,2,4,5,77,5,2,6,1,10,2,10,2,6,35,5,0,0,0,1,2,3,5,1,15
158,159,1987,200,72,8,4,9,6,7,7,4,41,3,6,3,6,9,5,4,6,4,23,8,1,7,90,1,4,4,14,1,20
159,160,1981,141,58,0,11,14,7,6,9,4,47,6,7,5,7,9,5,6,7,3,21,8,0,0,0,1,2,4,11,3,10
160,161,1976,175,70,11,11,1,12,2,3,4,75,9,1,5,1,6,1,5,2,6,31,6,1,1,60,1,12,1,6,1,10
161,162,1968,152,98,10,11,8,7,5,14,5,55,5,6,4,6,5,5,7,5,2,27,7,1,7,30,0,0,2,11,3,10
162,163,1986,188,76,5,1,3,3,12,14,7,55,9,1,10,3,10,1,6,2,7,40,5,1,7,30,1,2,3,11,2,20
163,164,2001,145,69,11,1,3,2,12,4,6,62,9,3,8,1,9,3,7,3,6,34,5,0,0,0,1,7,1,9,1,15
164,165,1993,144,89,19,11,8,12,8,9,2,56,5,6,10,6,7,6,4,5,5,22,8,0,0,0,1,9,1,10,3,10
165,166,1990,172,94,12,5,7,6,8,6,5,41,6,5,8,5,9,7,6,6,3,27,7,1,8,90,1,14,1,9,3,20
166,167,1997,153,99,5,11,6,6,12,9,5,49,6,5,9,5,6,7,4,7,5,20,8,0,0,0,1,8,3,5,3,15
167,168,1988,196,92,6,7,14,11,11,10,2,50,4,11,1,8,2,11,0,13,2,17,10,0,0,0,0,0,1,5,4,10
168,169,1978,148,98,8,11,10,11,12,10,4,46,2,11,3,8,5,8,0,13,1,19,10,0,0,0,1,6,2,9,2,5
169,170,1991,160,65,3,5,9,6,6,9,5,32,5,7,8,7,9,7,5,5,3,21,7,0,0,0,1,10,1,14,3,10
170,171,1983,197,60,7,1,4,4,4,5,4,96,7,2,5,2,6,1,10,1,7,20,5,1,3,90,0,0,5,13,1,20
171,172,1993,190,90,10,9,14,8,10,13,1,46,5,11,5,8,6,11,0,13,0,18,12,1,4,90,1,15,5,6,4,15
172,173,1987,173,76,5,11,3,3,12,2,6,40,7,1,9,2,10,1,10,3,6,29,5,1,9,30,0,0,5,10,1,20
173,174,1986,185,70,12,1,2,12,4,14,4,43,6,2,5,1,11,3,10,2,7,38,4,0,0,0,1,13,4,7,2,15
174,175,1980,144,92,10,11,12,10,12,12,2,37,4,11,1,8,3,11,0,13,3,18,10,0,0,0,0,0,3,14,2,20
175,176,1991,178,96,10,7,14,8,11,10,3,33,0,13,1,8,5,11,3,11,0,15,10,1,5,75,0,0,4,15,3,20
176,177,1988,180,76,8,3,4,12,12,1,3,65,9,2,8,1,7,1,5,2,7,38,6,1,8,75,1,12,3,5,1,20
177,178,1980,164,72,20,2,2,4,3,2,7,93,5,3,11,2,6,3,9,2,7,27,5,1,5,90,0,0,4,8,1,5
178,179,1970,176,62,13,3,2,2,12,5,3,88,10,3,5,2,12,2,9,3,4,27,5,0,0,0,0,0,1,15,1,5
179,180,1975,185,73,10,6,6,12,5,8,4,53,7,5,8,5,10,5,7,7,5,18,8,0,0,0,0,0,3,10,3,5
180,181,1987,166,74,7,9,12,11,11,13,4,10,2,11,5,8,7,11,3,11,1,25,10,0,0,0,1,14,5,5,2,10
181,182,1997,180,74,8,2,14,1,12,1,3,89,7,2,12,1,11,3,7,1,5,24,5,1,3,90,0,0,3,9,1,20
182,183,1993,170,71,5,11,8,5,12,7,3,58,6,5,5,6,9,5,6,6,4,17,7,1,4,75,0,0,1,13,3,10
183,184,1983,200,102,3,7,12,9,11,13,4,46,3,11,7,11,6,8,2,8,1,17,10,1,7,45,0,0,3,10,2,15
184,185,1970,145,70,10,9,10,8,9,14,4,17,2,8,3,8,7,11,2,8,2,14,12,0,0,0,0,0,3,14,3,15
185,186,1980,177,97,7,9,11,11,10,11,3,24,3,11,7,11,4,11,0,13,0,10,12,1,3,30,0,0,1,11,2,10
186,187,1970,187,89,6,11,13,8,12,10,4,18,5,11,4,8,5,8,3,11,2,21,12,1,9,30,1,13,4,11,4,5
187,188,1985,177,67,10,11,4,12,3,2,7,82,10,3,5,3,6,1,8,3,6,31,5,0,0,0,0,0,1,7,1,10
188,189,1990,177,79,16,5,7,12,8,8,3,38,3,6,4,5,8,7,5,7,2,17,9,0,0,0,0,0,1,8,3,5
189,190,1979,163,69,12,4,8,12,6,9,5,49,5,7,3,7,5,7,3,5,4,18,7,0,0,0,0,0,4,6,3,20
190,191,2000,189,62,11,4,8,12,5,6,3,40,4,5,6,6,9,7,7,6,3,27,9,1,1,90,1,3,2,8,1,15
191,192,1981,156,77,18,11,6,12,12,9,4,39,6,5,5,7,8,5,7,7,3,30,7,1,7,30,1,2,3,7,1,15
192,193,1968,178,60,20,3,1,3,12,5,5,45,9,3,12,1,6,2,10,1,5,22,4,0,0,0,1,13,2,9,2,5
193,194,1998,200,81,1,11,8,12,5,8,3,57,6,5,10,7,8,5,3,7,5,16,8,0,0,0,0,0,2,9,1,5
194,195,1992,195,63,3,9,10,11,10,12,2,42,4,8,2,8,4,11,1,8,0,23,10,0,0,0,0,0,4,5,3,10
195,196,1993,155,79,10,7,11,9,11,12,3,44,2,8,0,13,2,11,2,11,1,16,10,0,0,0,0,0,4,12,2,5
196,197,2001,148,83,4,4,6,7,8,8,2,56,7,7,4,6,8,6,3,6,4,21,7,1,7,30,0,0,4,10,2,15
197,198,1973,200,99,0,8,11,8,11,13,2,40,1,8,1,11,4,8,5,8,3,11,10,0,0,0,0,0,3,9,3,20
198,199,1987,184,77,18,5,6,7,12,8,4,52,7,5,10,6,4,7,4,7,3,24,8,1,5,60,0,0,4,14,3,20
199,200,1990,160,71,6,5,14,6,7,8,5,65,3,6,5,7,4,5,5,5,5,23,7,1,10,30,1,4,5,14,2,5
200,201,1976,200,82,0,11,13,10,10,11,1,34,4,8,5,11,4,11,4,8,2,11,10,0,0,0,1,6,3,9,4,20
