"Sygnatura czasowa","Proszę podać rok urodzenia","Proszę podać swój wzrost (w centymetrach)","Proszę podać swoją wagę (w kilogramach)","Od ilu lat regularnie biegasz?","W jakim zakresie jest Twój najlepszy czas na 1km? (HH:MM:SS)","W jakim zakresie jest Twój najlepszy czas na 5km? (HH:MM:SS)","W jakim zakresie jest Twój najlepszy czas na 10km? (HH:MM:SS)","W jakim zakresie jest Twój najlepszy czas na 21,0975km - Półmaraton? (HH:MM:SS)","W jakim zakresie jest Twój najlepszy czas na 42,195km - Maraton? (HH:MM:SS)","Ile treningów biegowych wykonujesz średnio w ciągu tygodnia?","Ile kilometrów pokonujesz średnio podczas treningów biegowych w ciągu tygodnia?","Ile razy w ciągu miesiąca wykonujesz trening szybkości?","W jakim zakresie tempa wykonujesz trening szybkości? (w minutach na kilometr)","Ile razy w ciągu miesiąca wykonujesz trening progowy?","W jakim zakresie tempa wykonujesz trening progowy? (w minutach na kilometr)","Ile razy w ciągu miesiąca wykonujesz trening interwałowy?","W jakim zakresie tempa wykonujesz trening interwałowy? (w minutach na kilometr)","Ile razy w ciągu miesiąca wykonujesz podbiegi?","W jakim zakresie tempa wykonujesz podbiegi? (w minutach na kilometr)","Ile razy w ciągu miesiąca wykonujesz wybieganie?","Jaka jest średnia ilość kilometrów wykonywana podczas jednego wybiegania?","W jakim zakresie tempa wykonujesz wybieganie? (w minutach na kilometr)","Czy wykonujesz treningi inne niż biegowe?","Jakie typy treningów, poza biegowymi, wykonujesz?","Ile razy w ciągu miesiąca wykonujesz powyższe treningi? (sumarycznie)","Ile minut średnio trwa pojedynczy trening?","Czy wykonujesz aktywności związane z odnową biologiczną?","Jakie aktywności związane z odnową biologiczną wykonujesz?","Ile razy w ciągu miesiąca wykonujesz powyższe aktywności? (sumarycznie)","Ile razy w ciągu roku stosujesz roztrenowanie?","Jaki jest Twój średni czas trwania roztrenowania? (w dniach)","Czy stosujesz rozgrzewkę przed treningiem biegowym?","Jaki jest średni czas trwania rozgrzewki? (w minutach)"
"2021/05/17 7:36:30 PM CET","1982","185","102","2","od 00:04:01 do 00:04:30","od 00:23:01 do 00:25:00","od 00:45:01 do 00:50:00","od 01:50:01 do 02:00:00","Nigdy nie biegłam/nie biegłem takiego dystansu","3","12","2","od 00:03:01 do 00:03:30","0","Nie wykonuję takich treningów","2","od 00:02:31 do 00:03:00","0","Nie wykonuję takich treningów","13","12","od 00:05:31 do 00:06:00","Tak","Rower","20","60","Nie","","","2","7","Nigdy","0"
"2021/05/17 7:37:41 PM CET","1980","173","68","4","od 00:04:31 do 00:05:00","od 00:25:01 do 00:27:00","od 00:50:01 do 00:55:00","od 02:00:01 do 02:10:00","Nigdy nie biegłam/nie biegłem takiego dystansu","3","30","0","Nie wykonuję takich treningów","2","od 00:05:01 do 00:05:30","2","od 00:04:31 do 00:05:00","2","od 00:05:01 do 00:05:30","2","22","od 00:06:01 do 00:06:30","Nie","","","","Nie","","","3","14","Czasem","5"
"2021/05/17 7:41:31 PM CET","1994","164","58","3","od 00:04:01 do 00:04:30","od 00:29:01 do 00:31:00","od 00:50:01 do 00:55:00","od 01:50:01 do 02:00:00","Nigdy nie biegłam/nie biegłem takiego dystansu","2","20","2","od 00:04:31 do 00:05:00","0","Nie wykonuję takich treningów","2","od 00:04:31 do 00:05:00","1","od 00:05:31 do 00:06:00","1","15","od 00:06:01 do 00:06:30","Tak","Trening siłowy;Crossfit/HIIT","8","40","Nie","","","2","14","Czasem","5"
"2021/05/17 7:42:12 PM CET","1987","167","69 ","1","od 00:03:31 do 00:04:00","od 00:23:01 do 00:25:00","od 00:55:01 do 01:00:00","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","3","30","4","od 00:03:01 do 00:03:30","0","Nie wykonuję takich treningów","4","od 00:03:01 do 00:03:30","3","od 00:04:01 do 00:04:30","0","0","Nie wykonuję takich treningów","Tak","Trening siłowy;Pilates;Taniec/Zumba/Pole Dance","20","60","Nie","","","2","14","Zawsze","15"
"2021/05/17 7:46:15 PM CET","1984","184","92","20","od 00:03:31 do 00:04:00","od 00:17:01 do 00:19:00","od 00:40:01 do 00:45:00","od 01:30:01 do 01:40:00","od 03:25:01 do 03:40:00","3","40","1","Nie wykonuję takich treningów","0","Nie wykonuję takich treningów","0","Nie wykonuję takich treningów","0","Nie wykonuję takich treningów","2","10","Nie wykonuję takich treningów","Tak","Trening siłowy;Pływanie;Rower","15","60","Nie","","","0","0","Regularnie","2"
"2021/05/17 7:47:11 PM CET","1994","167","56","2","od 00:03:31 do 00:04:00","od 00:21:01 do 00:23:00","od 00:50:01 do 00:55:00","od 01:50:01 do 02:00:00","Nigdy nie biegłam/nie biegłem takiego dystansu","5","50","8","od 00:04:31 do 00:05:00","1","od 00:04:01 do 00:04:30","4","od 00:04:01 do 00:04:30","0","Nie wykonuję takich treningów","3","10","od 00:06:31 do 00:07:00","Nie","","","","Nie","","","1","14","Zawsze","5"
"2021/05/17 7:54:32 PM CET","1969","165","71","3","od 00:05:31 do 00:06:00","od 00:29:01 do 00:31:00","od 01:00:01 do 01:05:00","od 02:20:01 do 02:30:00","Nigdy nie biegłam/nie biegłem takiego dystansu","3","20","3","od 00:05:31 do 00:06:00","1","od 00:06:01 i powyżej","0","Nie wykonuję takich treningów","2","od 00:06:01 i powyżej","4","11","od 00:06:31 do 00:07:00","Tak","Rower","2","60","Nie","","","3","10","Regularnie","4"
"2021/05/17 8:01:19 PM CET","1982","166","60","8","od 00:04:01 do 00:04:30","od 00:23:01 do 00:25:00","od 00:50:01 do 00:55:00","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","5","45","0","Nie wykonuję takich treningów","0","Nie wykonuję takich treningów","0","Nie wykonuję takich treningów","0","Nie wykonuję takich treningów","20","9","od 00:05:01 do 00:05:30","Nie","","","","Nie","","","1","120","Nigdy","0"
"2021/05/17 8:01:31 PM CET","1981","166","61","1","od 00:04:31 do 00:05:00","od 00:23:01 do 00:25:00","od 00:55:01 do 01:00:00","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","3","25","5","od 00:04:31 do 00:05:00","0","Nie wykonuję takich treningów","0","Nie wykonuję takich treningów","5","od 00:05:31 do 00:06:00","4","10","od 00:06:01 do 00:06:30","Nie","","","","Tak","Rozciąganie/Joga;Rolowanie;Masaż","10","0","0","Nigdy","0"
"2021/05/17 8:03:18 PM CET","1987","189","90","3","od 00:03:01 do 00:03:30","od 00:19:01 do 00:21:00","od 00:40:01 do 00:45:00","od 02:00:01 do 02:10:00","od 03:40:01 do 03:55:00","3","30","1","od 00:02:31 do 00:03:00","10","od 00:04:31 do 00:05:00","1","od 00:02:31 do 00:03:00","1","od 00:04:01 do 00:04:30","1","13","od 00:06:01 do 00:06:30","Tak","Rower","20","35","Nie","","","1","14","Regularnie","1"
"2021/05/17 8:03:56 PM CET","1983","173","60","1","od 00:05:01 do 00:05:30","od 00:27:01 do 00:29:00","od 00:55:01 do 01:00:00","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","2","17","1","od 00:03:01 do 00:03:30","0","Nie wykonuję takich treningów","0","Nie wykonuję takich treningów","4","od 00:05:01 do 00:05:30","2","10","od 00:05:31 do 00:06:00","Tak","Rower","10","150","Nie","","","1","21","Czasem","5"
"2021/05/17 8:04:59 PM CET","1969","170","67","3","od 00:03:31 do 00:04:00","od 00:25:01 do 00:27:00","od 00:50:01 do 00:55:00","od 02:10:01 do 02:20:00","Nigdy nie biegłam/nie biegłem takiego dystansu","2","20","3","od 00:04:31 do 00:05:00","1","od 00:05:31 do 00:06:00","1","od 00:04:31 do 00:05:00","2","od 00:04:01 do 00:04:30","4","12","od 00:06:31 do 00:07:00","Tak","Rower","4","70","Tak","Rozciąganie/Joga;Rolowanie","10","1","30","Regularnie","5"
"2021/05/17 8:06:16 PM CET","1980","158","59","1","Nigdy nie biegłam/nie biegłem takiego dystansu","od 00:35:01 do 00:37:00","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","3","15","0","Nie wykonuję takich treningów","0","Nie wykonuję takich treningów","0","Nie wykonuję takich treningów","0","Nie wykonuję takich treningów","12","5","od 00:07:01 i powyżej","Tak","Pilates","12","40","Nie","","","0","0","Regularnie","8"
"2021/05/17 8:09:11 PM CET","1967","165","68","3","od 00:06:01 do 00:06:30","od 00:29:01 do 00:31:00","od 00:55:01 do 01:00:00","od 02:20:01 do 02:30:00","od 04:40:01 do 04:55:00","3","20","1","od 00:05:31 do 00:06:00","0","Nie wykonuję takich treningów","2","od 00:05:31 do 00:06:00","1","od 00:06:01 i powyżej","1","20","od 00:07:01 i powyżej","Nie","","","","Nie","","","0","0","Czasem","5"
"2021/05/17 8:10:48 PM CET","1974","162","58","9","od 00:04:01 do 00:04:30","od 00:23:01 do 00:25:00","od 00:50:01 do 00:55:00","od 01:50:01 do 02:00:00","od 04:10:01 do 04:25:00","4","50","4","od 00:04:01 do 00:04:30","4","od 00:05:01 do 00:05:30","4","od 00:05:01 do 00:05:30","2","od 00:05:31 do 00:06:00","4","20","od 00:05:31 do 00:06:00","Tak","Trening siłowy;Rower;Taniec/Zumba/Pole Dance","8","60","Nie","","","1","14","Czasem","2"
"2021/05/17 8:17:12 PM CET","1988","187","88","5","od 00:03:01 do 00:03:30","od 00:19:01 do 00:21:00","od 00:40:01 do 00:45:00","od 01:40:01 do 01:50:00","od 03:55:01 do 04:10:00","3","50","2","od 00:02:31 do 00:03:00","1","od 00:03:01 do 00:03:30","4","od 00:03:01 do 00:03:30","2","od 00:04:01 do 00:04:30","3","25","od 00:05:01 do 00:05:30","Tak","Trening siłowy;Pływanie;Crossfit/HIIT;Rower;Sztuki walki","15","60","Tak","Rozciąganie/Joga;Rolowanie;Sauna","3","1","12","Regularnie","10"
"2021/05/17 8:20:08 PM CET","1981 ","177","87","2","od 00:05:31 do 00:06:00","od 00:27:01 do 00:29:00","od 00:55:01 do 01:00:00","od 02:10:01 do 02:20:00","Nigdy nie biegłam/nie biegłem takiego dystansu","3","40","2","od 00:05:31 do 00:06:00","1","od 00:06:01 i powyżej","2","od 00:05:01 do 00:05:30","1","od 00:06:01 i powyżej","1","15","od 00:06:01 do 00:06:30","Tak","Trening siłowy;Rower","230","30","Nie","","","1","40","Czasem","10"
"2021/05/17 8:26:00 PM CET","1981","164","72","","od 00:02:30 do 00:03:00","od 00:17:01 do 00:19:00","od 00:35:01 do 00:40:00","od 01:10:01 do 01:20:00","od 02:55:01 do 03:10:00","6","80","5","od 00:03:31 do 00:04:00","5","od 00:04:01 do 00:04:30","4","od 00:04:01 do 00:04:30","2","od 00:04:01 do 00:04:30","5","21","od 00:05:31 do 00:06:00","Tak","Trening siłowy;Pływanie;Rower","6","45","Tak","Rozciąganie/Joga;Rolowanie;Masaż;Sauna","8","2","14","Zawsze","10"
"2021/05/17 8:33:12 PM CET","1978","169","76","4","od 00:04:31 do 00:05:00","od 00:21:01 do 00:23:00","od 00:45:01 do 00:50:00","od 01:50:01 do 02:00:00","Nigdy nie biegłam/nie biegłem takiego dystansu","3","30","4","od 00:04:31 do 00:05:00","20","od 00:04:01 do 00:04:30","2","od 00:04:31 do 00:05:00","1","od 00:05:31 do 00:06:00","2","25","od 00:05:31 do 00:06:00","Tak","Trening siłowy","16","80","Tak","Sauna","3","2","25","Czasem","5"
"2021/05/17 8:35:23 PM CET","1977","167","70","3","od 00:04:01 do 00:04:30","od 00:21:01 do 00:23:00","od 00:45:01 do 00:50:00","od 01:40:01 do 01:50:00","Nigdy nie biegłam/nie biegłem takiego dystansu","2","25","1","od 00:02:31 do 00:03:00","1","od 00:04:31 do 00:05:00","1","od 00:04:01 do 00:04:30","1","od 00:03:01 do 00:03:30","1","16","od 00:05:01 do 00:05:30","Tak","Trening siłowy","14","75","Tak","Rolowanie;Sauna","20","1","10","Czasem","5"
